Designator,Mid X,Mid Y,Rotation,Layer
J1,16.54,-27.7,270.0,top
J2,16.54,-32.0,270.0,top
J3,17.0,-38.08,270.0,bottom
J4,39.306,-37.592,270.0,bottom
J5,37.21,-33.6,90.0,top
U1,27.35,-13.4,0.0,top
